,Country_Country,Income Gini,Wealth Gini,Lobby index
176,Brunei,,0.897,
177,Dominica,,0.813,
178,Equatorial Guinea,,0.864,
179,Eritrea,,0.763,
180,Grenada,,0.682,
181,Kuwait,,0.862,
182,Libya,,0.76,
183,Oman,,0.88,
184,Puerto Rico,,,
185,Samoa,,0.777,
186,Solomon Islands,,0.814,
187,Saint Vincent and the Grenadines,,0.813,
188,Tonga,,0.777,
189,Vanuatu,,0.814,
